id_survey,date_of_survey,ticket_system,overall_rating,ease_of_use,likelihood_to_recommend,overall_text,fill_survey,customer_satisfaction,is_satisfied,nps_category,vader_sentiment,transformer_sentiment
T_01180,2024-10-11,Zendesk,4.0,4.0,10.0,"Pros:I love that it is an efficient helpdesk system - very easy to use, respond to queries, and monitor progress of complaints. Running a small business means you are in a critical stage of building your customer pool and making sure that you provide excellent customer support- that's what Zendesk is all about. Making sure that you're on track and nothing falls through the cracks!",Responded,Satisfied,1.0,Promoter,Positive,Positive
T_01740,2024-10-27,Zendesk,4.0,3.0,7.0,Pros:- ticket management- SLAs and routing support is great- hierarchical and granular access controls,Responded,Satisfied,1.0,Passive,Positive,Positive
T_01726,2024-10-27,Freshdesk,,,,,Not Responded,Not Satisfied,,,,
T_01989,2024-11-03,ServiceNow,,,,,Not Responded,Not Satisfied,,,,
T_01843,2024-10-30,Freshdesk,,,,,Not Responded,Not Satisfied,,,,
T_01733,2024-10-27,Zendesk,,,,,Not Responded,Not Satisfied,,,,
T_03476,2024-12-04,ServiceNow,,,,,Not Responded,Not Satisfied,,,,
T_03949,2024-12-12,Jira Service Management,5.0,5.0,9.0,We decided to use Jira 2 years ago and never regret our decision.,Responded,Satisfied,1.0,Promoter,Positive,Positive
T_01985,2024-11-03,Zendesk,,,,,Not Responded,Not Satisfied,,,,
T_03881,2024-12-11,Zendesk,5.0,5.0,9.0,"it has been great in terms of managing everthing. communicatiion between clients, developers and CSMs is great. tracking reply threads and tagging people is a great help.",Responded,Satisfied,1.0,Promoter,Positive,Positive
T_01704,2024-10-26,ServiceNow,,,,,Not Responded,Not Satisfied,,,,
T_02059,2024-11-05,Freshdesk,4.0,5.0,6.0,In general I have fond memories of the whole product since it was easy to use and for Customer Support tasks were easy and fast. The less time spent for the product the faster the task can be solved.,Responded,Satisfied,1.0,Detractor,Positive,Positive
T_01435,2024-10-18,Jira Service Management,5.0,5.0,10.0,JSM helps my teams keep on top of what needs to be done. My organization gain a lot of visibility over pending work.,Responded,Satisfied,1.0,Promoter,Positive,Positive
T_02479,2024-11-14,Zoho Desk,4.0,5.0,8.0,Any small business could use a resource like this.It is one of the best ways to manage your customers and preserve your brand.We love this product.,Responded,Satisfied,1.0,Passive,Positive,Positive
T_04515,2024-12-24,Zoho Desk,,,,,Not Responded,Not Satisfied,,,,
T_01223,2024-10-12,Jira Service Management,,,,,Not Responded,Not Satisfied,,,,
T_04133,2024-12-16,Zoho Desk,4.0,5.0,8.0,Pros:The product is very customisable and has a lot of features that can be set up to your own company's needs.,Responded,Satisfied,1.0,Passive,Neutral,Positive
T_02122,2024-11-06,Jira Service Management,4.0,4.0,7.0,"A stable, performant platform for customer support is critical and JIRA Service Management has delivered that.",Responded,Satisfied,1.0,Passive,Positive,Positive
T_02178,2024-11-08,Zoho Desk,5.0,5.0,10.0,Helped client organize their projects,Responded,Satisfied,1.0,Promoter,Neutral,Neutral
T_01370,2024-10-17,Zoho Desk,4.0,3.0,8.0,Pros:Easy to start with a basic free setup and upgrade as your company grows or develops the need for more features.,Responded,Satisfied,1.0,Passive,Positive,Positive
T_00339,2024-09-13,Jira Service Management,5.0,4.0,10.0,Overall very positive experience. It makes it easy to live up to your SLA's since it shows you how long you have to resolve tickets.,Responded,Satisfied,1.0,Promoter,Positive,Positive
T_04346,2024-12-20,Zendesk,4.0,5.0,9.0,"The use of the software has improved the customer service time, in addition there are records and reports of the most common failures to improve the strategies. It also has a history of all tickets attended to solve major problems. The best thing is that they are updating the platform to incorporate new attention functions.",Responded,Satisfied,1.0,Promoter,Positive,Positive
T_01926,2024-11-02,Zoho Desk,,,,,Not Responded,Not Satisfied,,,,
T_04710,2024-12-27,Zendesk,,,,,Not Responded,Not Satisfied,,,,
T_00645,2024-09-25,Zoho Desk,4.0,3.0,5.0,"Pros:Having trialed Zoho Desk, I found it simple to use, and it has a good interface. Also, the CRM integration is a real bonus for us.",Responded,Satisfied,1.0,Detractor,Positive,Positive
T_04765,2024-12-28,Zendesk,,,,,Not Responded,Not Satisfied,,,,
T_03874,2024-12-11,Zendesk,,,,,Not Responded,Not Satisfied,,,,
T_00717,2024-09-27,Jira Service Management,,,,,Not Responded,Not Satisfied,,,,
T_00506,2024-09-19,ServiceNow,,,,,Not Responded,Not Satisfied,,,,
T_00201,2024-09-08,Zoho Desk,5.0,5.0,9.0,"Overall, can't imagine using a different software in replacement of Zoho Desk. It gives everything I need for work.",Responded,Satisfied,1.0,Promoter,Neutral,Positive
T_04635,2024-12-26,Freshdesk,,,,,Not Responded,Not Satisfied,,,,
T_00869,2024-10-03,Zoho Desk,3.0,3.0,2.0,Pros:It has some very good features and you can really setup the customer support in few minutes using Zoho desk.,Responded,Not Satisfied,0.0,Detractor,Positive,Positive
T_04757,2024-12-28,Zendesk,5.0,4.0,10.0,"I'd definitely recommend Zendesk to others. It's an easy to use software, widely known, and our clients really benefit from it.",Responded,Satisfied,1.0,Promoter,Positive,Positive
T_04343,2024-12-20,Zendesk,4.0,5.0,7.0,"Pros:Zendesk is a quality, best of class solution for Help Desk, customer support, and knowledge base. We primarily use their knowledge base which is an absolute breeze to setup and integrate.It also offers easy customization and administration of content.",Responded,Satisfied,1.0,Passive,Positive,Positive
T_04404,2024-12-21,Zendesk,4.0,3.0,9.0,"As far as ticket management systems go, Zendesk is hard to beat.",Responded,Satisfied,1.0,Promoter,Negative,Neutral
T_01922,2024-11-02,Zoho Desk,,,,,Not Responded,Not Satisfied,,,,
T_00341,2024-09-14,Zoho Desk,,,,,Not Responded,Not Satisfied,,,,
T_03885,2024-12-11,Jira Service Management,,,,,Not Responded,Not Satisfied,,,,
T_02901,2024-11-22,Jira Service Management,5.0,5.0,10.0,"Overall, it is easy to use, and it is easy issue management tool for new features.",Responded,Satisfied,1.0,Promoter,Positive,Positive
T_02317,2024-11-10,Jira Service Management,5.0,5.0,10.0,"JIRA Service Management is a widely used and well-regarded tool for service management and IT service desk operations. Many organizations find it to be an effective solution for managing incidents, requests, and support tickets, as well as tracking performance and progress. The customizable workflows and integration capabilities make it a versatile tool that can be adapted to meet the unique needs of different teams and organizations. However, the steep learning curve and limited customization options can be challenges for some users, and the setup process for some advanced features can be complicated. Overall, JIRA Service Management is a powerful tool that can deliver significant benefits to organizations that are looking to improve their service management processes.",Responded,Satisfied,1.0,Promoter,Positive,Positive
T_04244,2024-12-18,Zendesk,5.0,5.0,10.0,Pros:super easy and efficient way to assign and work emails for an org. i wish all my previous jobs used this!,Responded,Satisfied,1.0,Promoter,Positive,Positive
T_02543,2024-11-15,Zendesk,5.0,5.0,10.0,"Really practical, it even has a mobile app that is very good on the go. Easy to use and straight forward.",Responded,Satisfied,1.0,Promoter,Positive,Positive
T_00736,2024-09-28,Zendesk,,,,,Not Responded,Not Satisfied,,,,
T_00212,2024-09-08,Zendesk,,,,,Not Responded,Not Satisfied,,,,
T_04199,2024-12-17,Zendesk,3.0,3.0,4.0,"Pros:Zendesk makes it really easy to organize all requests no just in-house team but outside customers. Not a great fan of cloud base solutions but everyone is jumping on Virtual Servers and Cloud base solutions is like a force movement like me writing this review when Im just evaluating a solution and alternative to G Suites from Google. Workspace from Facebook calls my attention eventhou is also cloud base but is the closes in Features. Just like the Standalone version of Zendesk that we all learn too user the codes and independency of running the software on the local network overpasses any cloud base solution in my opinion. Automations and Macros are great working locally without the need of High bandwith which we can afford in USA but on other locations in the caribean is a luxury even for big business to have the bandwith we have. OOOOhh And what happens at hurricane season? when we had blackouts we still ran the Zendesk locally. An example of such dependency of cloud based systems is the Automations function doesn't flow in a similar way but are timed instead of instantaneous compare to local run version of the software. Macros allow you to update a ticket's tags, message, and other information with a click of a button. Zendesk has done a great job to make a ticketing system and keeping up the standard with the growing number of completion.",Responded,Not Satisfied,0.0,Detractor,Positive,Positive
T_04026,2024-12-14,Freshdesk,,,,,Not Responded,Not Satisfied,,,,
T_02379,2024-11-11,otrs,5.0,5.0,10.0,Pros:We are currently testing this product at Symphony Teleca for an internal project and so far so good. The ease of tracking tickets and problem tickets is comparable to the big players like Remedy and Service now. I like the way report generation is easy.,Responded,Satisfied,1.0,Promoter,Positive,Positive
T_01401,2024-10-17,Jira Service Management,,,,,Not Responded,Not Satisfied,,,,
T_00825,2024-10-01,Jira Service Management,5.0,5.0,9.0,Pros:Jira service desk is used to log and track the issues we are facing during the training preparation.,Responded,Satisfied,1.0,Promoter,Neutral,Neutral
T_02920,2024-11-23,Zoho Desk,,,,,Not Responded,Not Satisfied,,,,
T_00737,2024-09-28,Zendesk,5.0,5.0,9.0,"I would rate the software 9 out of 10, as there are a few areas that require fixing on the system. However, I acknowledge that there is no perfect software.",Responded,Satisfied,1.0,Promoter,Positive,Neutral
T_04630,2024-12-26,Zoho Desk,4.0,5.0,5.0,Pros:it was easy to use and setup. The price point was ok depends on what you are going to end up using that data from this software for.,Responded,Satisfied,1.0,Detractor,Positive,Positive
T_04852,2024-12-30,Zoho Desk,,,,,Not Responded,Not Satisfied,,,,
T_03816,2024-12-10,Zendesk,,,,,Not Responded,Not Satisfied,,,,
T_02254,2024-11-09,Zendesk,5.0,3.0,10.0,"Zendesk is the most customizable ticket system in the market, a lot of features that can help to automate things. Plus you can also install apps that could be useful.",Responded,Satisfied,1.0,Promoter,Positive,Positive
T_03728,2024-12-09,Zoho Desk,3.0,3.0,5.0,"Pros:Mobility of the Application as it is in the cloud. Love the Application. Integrates with other Zoho Applications such as recruits, books and CRM",Responded,Not Satisfied,0.0,Detractor,Positive,Positive
T_03252,2024-11-30,Zendesk,,,,,Not Responded,Not Satisfied,,,,
T_01280,2024-10-14,Zendesk,,,,,Not Responded,Not Satisfied,,,,
T_01775,2024-10-28,Zendesk,4.0,4.0,7.0,"Having used Zendesk and a few competitors, I do find value in many of the efficiencies that Zendesk has. Though it costs a little more, it may be worth it for you given the more efficient common workflows. For example, Zendesk has the ability to respond to and close a ticket in a single click, something missing from many ticketing systems.",Responded,Satisfied,1.0,Passive,Positive,Positive
T_02924,2024-11-23,Zoho Desk,4.0,4.0,8.0,We are organising our helpdesk process using Zoho Desk which fits the purpose perfectly. In addition Teams is part of our daily IT life and Zoho integrates into it the way we need it.,Responded,Satisfied,1.0,Passive,Positive,Positive
T_01116,2024-10-10,Zoho Desk,5.0,5.0,9.0,"In general terms, a very good experience, a tool that makes our work much easier by optimizing procedures.",Responded,Satisfied,1.0,Promoter,Positive,Positive
T_01760,2024-10-28,Freshdesk,,,,,Not Responded,Not Satisfied,,,,
T_01927,2024-11-02,Freshdesk,5.0,5.0,10.0,Pros:The reportings and the analytics are a plus on top ofthe ease for advisors. Plus their support is awesome.,Responded,Satisfied,1.0,Promoter,Positive,Positive
T_02033,2024-11-04,Zendesk,5.0,5.0,8.0,Zendesk is great and really helps me dig into my accounts at a different level by seeing if there are any support needs.,Responded,Satisfied,1.0,Passive,Positive,Positive
T_04071,2024-12-15,Zoho Desk,,,,,Not Responded,Not Satisfied,,,,
T_01801,2024-10-29,Freshdesk,4.0,4.0,9.0,"Despite the pricing and reporting drawbacks, I found Freshdesk to be a valuable tool for improving customer support and increasing efficiency. The platform's robust features and integrations, including with Salesforce and Slack, make it a top choice for businesses looking to streamline their customer support operations.",Responded,Satisfied,1.0,Promoter,Positive,Positive
T_00552,2024-09-21,Zendesk,,,,,Not Responded,Not Satisfied,,,,
T_04536,2024-12-24,Freshdesk,4.0,4.0,8.0,The system allows our business to have a 24/7/365 helpdesk with searchable answers as well as the ability to open support tickets for those who still have questions.,Responded,Satisfied,1.0,Passive,Positive,Positive
T_02687,2024-11-18,Freshdesk,,,,,Not Responded,Not Satisfied,,,,
T_01841,2024-10-30,Freshdesk,5.0,5.0,10.0,I would highly recommend Freshdesk if you're looking for a scaleable support solution at a reasonable price.,Responded,Satisfied,1.0,Promoter,Positive,Positive
T_04204,2024-12-17,Jira Service Management,5.0,4.0,9.0,"Jira excels in defect management with its robust issue tracking, collaborative workflows, advanced search capabilities, extensive integration options, and customizable features, making it a powerful tool for efficiently tracking, resolving, and analyzing defects throughout the software development lifecycle.",Responded,Satisfied,1.0,Promoter,Positive,Positive
T_02381,2024-11-12,Zoho Desk,4.0,2.0,4.0,Business - customer relations. We are able to amass a great wealth of product and customer feedback that we can reference in the future as needed. This alone is quite valuable and makes wanting to change services a less attractive option for us.,Responded,Satisfied,1.0,Detractor,Positive,Positive
T_02814,2024-11-20,Jira Service Management,5.0,5.0,10.0,"This is a software that our companies uses every single day, sometimes multiple times. It is worth every penny, and makes the developers jobs easier.",Responded,Satisfied,1.0,Promoter,Positive,Positive
T_01842,2024-10-30,Freshdesk,5.0,5.0,10.0,Really good. I enjoy using this software. it makes my life easier and its really easy to use.,Responded,Satisfied,1.0,Promoter,Positive,Positive
T_04784,2024-12-29,Zoho Desk,,,,,Not Responded,Not Satisfied,,,,
T_00361,2024-09-14,Zendesk,5.0,5.0,10.0,Very happy with the tool and overall performance. Our client service team uses it daily to manage any concerns clients may have.,Responded,Satisfied,1.0,Promoter,Positive,Positive
T_00719,2024-09-28,Zoho Desk,5.0,5.0,10.0,Pros:A great tool to organize oneself and the company.,Responded,Satisfied,1.0,Promoter,Positive,Positive
T_03636,2024-12-07,Zendesk,5.0,5.0,10.0,Immediate support. easy tool to implement,Responded,Satisfied,1.0,Promoter,Positive,Positive
T_03954,2024-12-12,otrs,5.0,5.0,10.0,Pros:very easy to use and fast interface that helps to manage our business,Responded,Satisfied,1.0,Promoter,Positive,Positive
T_00630,2024-09-24,Zendesk,4.0,5.0,8.0,I have a great experience with Zendesk and used it for over 2 years. It is simple and easy to track your work.,Responded,Satisfied,1.0,Passive,Positive,Positive
T_03178,2024-11-29,Zoho Desk,4.0,4.0,7.0,clients supra,Responded,Satisfied,1.0,Passive,Neutral,Neutral
T_00160,2024-09-06,otrs,,,,,Not Responded,Not Satisfied,,,,
T_03777,2024-12-10,Zoho Desk,5.0,5.0,6.0,"increased performance at work, better team response and a reporting feature for tickets thats second to none.",Responded,Satisfied,1.0,Detractor,Positive,Positive
T_03194,2024-11-29,Zendesk,,,,,Not Responded,Not Satisfied,,,,
T_03393,2024-12-03,Freshdesk,4.0,3.0,7.0,"Better than anything I have trialled and considered as a replacement, including ZenDesk. For all the faults it does its core function well for a reasonable price.",Responded,Satisfied,1.0,Passive,Positive,Positive
T_01714,2024-10-27,Zoho Desk,,,,,Not Responded,Not Satisfied,,,,
T_03644,2024-12-07,Jira Service Management,5.0,4.0,8.0,"Pros:The configuration is easy and most flexible concerning workflows, screens, fields and so on. There are many add-ons available in marketplace to enhance it's functionality.",Responded,Satisfied,1.0,Passive,Positive,Positive
T_03895,2024-12-12,Zoho Desk,,,,,Not Responded,Not Satisfied,,,,
T_03417,2024-12-03,Zendesk,,,,,Not Responded,Not Satisfied,,,,
T_00463,2024-09-18,Zoho Desk,,,,,Not Responded,Not Satisfied,,,,
T_02476,2024-11-14,Zoho Desk,,,,,Not Responded,Not Satisfied,,,,
T_00190,2024-09-07,Zendesk,,,,,Not Responded,Not Satisfied,,,,
T_02662,2024-11-18,Zoho Desk,5.0,5.0,10.0,"Pros:Since we started using Zoho Desk, our problem-solving follow-up tasks with our customers have improved greatly, our customers are satisfied when we deliver the activity report to evaluate our response times.",Responded,Satisfied,1.0,Promoter,Positive,Positive
T_02233,2024-11-09,Zoho Desk,5.0,4.0,8.0,being able to monitor the incoming requests and have a repository for them that isn't stuck in someone's email box is invaluable. I'm still learning the product but see a lot of potential.,Responded,Satisfied,1.0,Passive,Positive,Positive
T_04500,2024-12-23,Zendesk,5.0,4.0,9.0,I have 4 different accounts for different countries.I am very pleased with the performance and management of the systems for managing my clients and my application users.,Responded,Satisfied,1.0,Promoter,Positive,Positive
T_01123,2024-10-10,Zoho Desk,4.0,4.0,8.0,a all in one helpdesk support application,Responded,Satisfied,1.0,Passive,Positive,Neutral
T_02997,2024-11-24,Jira Service Management,,,,,Not Responded,Not Satisfied,,,,
T_02801,2024-11-20,Zendesk,5.0,5.0,8.0,"I use it on several of my websites, really good live chat app.",Responded,Satisfied,1.0,Passive,Positive,Positive
T_02431,2024-11-13,Zoho Desk,4.0,4.0,7.0,Simple setup and highly customizable modules allowing for the very granular creation of feature sets.,Responded,Satisfied,1.0,Passive,Positive,Positive
T_03704,2024-12-08,ServiceNow,5.0,5.0,10.0,Overall it was a good learning platform and also came to know various things that are present and which are available to use so can say had a good experience with the tool,Responded,Satisfied,1.0,Promoter,Positive,Positive
T_00095,2024-09-04,Zendesk,4.0,5.0,9.0,"In my overall experience with Zendesk Suite, it has been a game-changer for my business, resolving critical pain points and delivering a range of benefits. As a small business owner, I faced several challenges in managing customer support effectively, but Zendesk Suite has transformed the way I interact with my customers and streamlined my support operations.Firstly, Zendesk Suite's multichannel support has been a lifesaver. With the ability to manage customer queries and issues across email, live chat, social media, and phone, I can meet my customers wherever they prefer to reach out. This has significantly improved customer satisfaction and response times, as I can provide timely assistance on their preferred platforms.Another standout benefit is the integrated knowledge base offered by the Suite's Guide module. Creating and publishing help articles and FAQs has empowered my customers to find answers on their own, reducing the strain on my support team. This self-service option has not only saved time for both my customers and staff but has also improved customer engagement and empowered my customers to troubleshoot common issues independently.Furthermore, Zendesk Suite has helped me gain valuable insights into my support operations through its reporting and analytics capabilities. With Explore, I can track key metrics, monitor agent performance, and identify trends to make data-driven decisions. This has enabled me to optimize my support processes, allocate resources",Responded,Satisfied,1.0,Promoter,Positive,Positive
T_03530,2024-12-05,Zendesk,,,,,Not Responded,Not Satisfied,,,,
T_02031,2024-11-04,Zendesk,,,,,Not Responded,Not Satisfied,,,,
T_00760,2024-09-29,Zendesk,5.0,5.0,9.0,"Delivering support through various channels can be intricate, but there's no need for your customers to be aware of that. With the Support Suite, your company can engage in seamless conversations with customers, all while shielding them from the operational complexities in the background. This solution is both advanced, catering to intricate requirements, and user-friendly, enabling you to start smoothly without delay.",Responded,Satisfied,1.0,Promoter,Positive,Positive
T_03694,2024-12-08,Zendesk,5.0,5.0,10.0,Help keep track of problems on our site makes my life easier!,Responded,Satisfied,1.0,Promoter,Positive,Positive
T_02749,2024-11-19,Freshdesk,,,,,Not Responded,Not Satisfied,,,,
T_04033,2024-12-14,Zendesk,5.0,4.0,10.0,"We've been using Zendesk for years, it has made email communication/ task management extremely easy and intuitive. All of out team love it",Responded,Satisfied,1.0,Promoter,Positive,Positive
T_02908,2024-11-23,Zoho Desk,5.0,5.0,10.0,The support desk platform is simple to use and offers a ton of useful features. Customer support is also excellent. They always answer quickly.,Responded,Satisfied,1.0,Promoter,Positive,Positive
T_00007,2024-09-01,Zoho Desk,3.0,3.0,7.0,Pros:easy to use and intuitive. It's good to be able to include unlimited payers as employees. also has a good layout,Responded,Not Satisfied,0.0,Passive,Positive,Positive
T_01440,2024-10-19,Zoho Desk,4.0,4.0,8.0,"This is an excellent solution that accumulates all our communications in a nice, easily accessible and logical structure.Having used the solution for the past few weeks, I can see all the queries have been placed. I can see a log of all the tasks performed to accommodate the enquiry.From this information we can log the operation to extend our knowledge base. If we ever need to perform a similar task, the knowledge is easily accessible.I strongly recommend this to anyone looking for a similar solution. It has excellent functions at an incredible price.",Responded,Satisfied,1.0,Passive,Positive,Positive
T_04250,2024-12-18,ServiceNow,5.0,5.0,9.0,"Pros:- Real data easy to update and retrieve even after a long time since the case was closed- Very clear dashboards, easy to read and visualise performance data- Queue system easy to implement even in big organisations with complex segmented workflows",Responded,Satisfied,1.0,Promoter,Positive,Positive
T_04441,2024-12-22,Freshdesk,4.0,5.0,7.0,Overall fresh desk has been a vital part of our support team and allows us to manage KPI's and SLA's,Responded,Satisfied,1.0,Passive,Positive,Positive
T_04617,2024-12-25,otrs,,,,,Not Responded,Not Satisfied,,,,
T_01811,2024-10-29,Zendesk,,,,,Not Responded,Not Satisfied,,,,
T_04492,2024-12-23,Freshdesk,,,,,Not Responded,Not Satisfied,,,,
T_03775,2024-12-10,Zoho Desk,,,,,Not Responded,Not Satisfied,,,,
T_00233,2024-09-09,Freshdesk,5.0,5.0,9.0,"Pros:I enjoy using Freshdesk because it is simple to use. It also includes unlimited help desk ticketing. It is also compatible with Android and iOS and can be integrated into Slack. Also,I appreciate how simple it is to assign tickets to the appropriate team member and how quick and easy it is to respond to tickets.",Responded,Satisfied,1.0,Promoter,Positive,Positive
T_01489,2024-10-20,Zendesk,5.0,5.0,9.0,Pros:This software is extremely user friendly. It helped greatly with customer/client engagement and I find the price worth it for the level of service.,Responded,Satisfied,1.0,Promoter,Positive,Positive
T_02597,2024-11-16,ServiceNow,4.0,3.0,8.0,Pros:I loved the many features that it offered,Responded,Satisfied,1.0,Passive,Positive,Positive
T_01204,2024-10-12,Freshdesk,4.0,4.0,10.0,"Pros:Freshdesk has been a breeze to set up and use effectively. My team loves how easy it is to quickly work through tickets. We heavily use Trello and their integration is top tier.When issues do come up, the support team is always available to answer my questions. Even when it doesn't support a particular workflow, I've always been given excellent suggestions to work around its limitations.",Responded,Satisfied,1.0,Promoter,Positive,Positive
T_04787,2024-12-29,Zoho Desk,,,,,Not Responded,Not Satisfied,,,,
T_01725,2024-10-27,Freshdesk,5.0,5.0,10.0,"our overall experience with Fresh Desk has been excellent. its simple to use, easy to manage, and we have had no complaints.",Responded,Satisfied,1.0,Promoter,Positive,Positive
T_02115,2024-11-06,Zendesk,,,,,Not Responded,Not Satisfied,,,,
T_01604,2024-10-24,Freshdesk,,,,,Not Responded,Not Satisfied,,,,
T_00912,2024-10-04,Zendesk,,,,,Not Responded,Not Satisfied,,,,
T_03940,2024-12-12,Zendesk,,,,,Not Responded,Not Satisfied,,,,
T_04170,2024-12-17,Zoho Desk,5.0,5.0,10.0,Easy communication becomes possible with Zoho Desk and good customer management tools for web based application.,Responded,Satisfied,1.0,Promoter,Positive,Positive
T_04049,2024-12-14,ServiceNow,5.0,4.0,8.0,"Pros:this is one of the most advanced software available, it is essential for large companies which have huge numbers of employees. Servicenow can handle the huge amount of data which might be impossible for other softwares.",Responded,Satisfied,1.0,Passive,Positive,Positive
T_01840,2024-10-30,Freshdesk,,,,,Not Responded,Not Satisfied,,,,
T_02218,2024-11-08,ServiceNow,,,,,Not Responded,Not Satisfied,,,,
T_01472,2024-10-20,Zoho Desk,4.0,4.0,9.0,Running a customer care service with the help of Zoho Desk.,Responded,Satisfied,1.0,Promoter,Positive,Neutral
T_01366,2024-10-16,Jira Service Management,,,,,Not Responded,Not Satisfied,,,,
T_01166,2024-10-11,Freshdesk,5.0,5.0,10.0,"Having been in the IT support industry for more than 20 years I've used a lot of different helpdesk systems and this has been, by far, one of the easiest to setup and run, and also one of the fastest.It lacks all the extra bells and whistles that something like Spiceworks has but if you already have other tools for network management etc... I've yet to find a better system for so little cost.",Responded,Satisfied,1.0,Promoter,Positive,Positive
T_02969,2024-11-24,Zoho Desk,5.0,4.0,8.0,Pros:Easy of tracking tickets. I especially love the way you can convert emails straight to incident tickets.,Responded,Satisfied,1.0,Passive,Positive,Positive
T_00500,2024-09-19,Zendesk,,,,,Not Responded,Not Satisfied,,,,
T_01582,2024-10-23,Zendesk,,,,,Not Responded,Not Satisfied,,,,
T_01663,2024-10-25,Zendesk,,,,,Not Responded,Not Satisfied,,,,
T_04358,2024-12-20,Jira Service Management,5.0,5.0,10.0,It is an excellent system tickets with very good follow up process.,Responded,Satisfied,1.0,Promoter,Positive,Positive
T_04029,2024-12-14,Zendesk,,,,,Not Responded,Not Satisfied,,,,
T_00702,2024-09-27,Freshdesk,5.0,5.0,10.0,Excelente experience. Especially Tecnicall support.It is so good and fast that when using other apps you expect at least the same response.,Responded,Satisfied,1.0,Promoter,Positive,Positive
T_02313,2024-11-10,Zendesk,,,,,Not Responded,Not Satisfied,,,,
T_03134,2024-11-28,Zoho Desk,,,,,Not Responded,Not Satisfied,,,,
T_04328,2024-12-20,Freshdesk,5.0,5.0,8.0,Since we run a small company it's very important that our customers feel that we care about them. Freshdesk realy helps with this and give our customers the idea they are all special (which they are!),Responded,Satisfied,1.0,Passive,Positive,Positive
T_00768,2024-09-30,Zoho Desk,3.0,3.0,7.0,better service to our endusers and better overview of issues and severity,Responded,Not Satisfied,0.0,Passive,Positive,Positive
T_03449,2024-12-04,Freshdesk,5.0,5.0,9.0,Overall a good experience . Used on a daily basis for managing technical support tickets.,Responded,Satisfied,1.0,Promoter,Positive,Positive
T_02526,2024-11-15,Zoho Desk,5.0,4.0,9.0,muy satisfecho,Responded,Satisfied,1.0,Promoter,Neutral,Neutral
T_01546,2024-10-22,Zendesk,5.0,5.0,8.0,"Easy, cost effective and not hard to implement.",Responded,Satisfied,1.0,Passive,Positive,Positive
T_04717,2024-12-27,ServiceNow,5.0,5.0,10.0,"Pros:I used to deal with HPE/MicroFocus tools which are great, however with ServiceNow service you can build entire ITSM services in a very good way and easier and customize it as you need to meet your org need.",Responded,Satisfied,1.0,Promoter,Positive,Positive
T_02682,2024-11-18,Freshdesk,,,,,Not Responded,Not Satisfied,,,,
T_04051,2024-12-14,Jira Service Management,,,,,Not Responded,Not Satisfied,,,,
T_04490,2024-12-23,Freshdesk,,,,,Not Responded,Not Satisfied,,,,
T_02751,2024-11-19,Freshdesk,5.0,5.0,10.0,"A program that helps you to prepare multiple bases and is not expensive for money, as you can create several modern models using its distinctive features",Responded,Satisfied,1.0,Promoter,Positive,Positive
T_04402,2024-12-21,Zendesk,4.0,4.0,8.0,"Pros:I like Zendesk because it is user friendly, and pretty easy to follow. I would recommend this to friend or colleague.",Responded,Satisfied,1.0,Passive,Positive,Positive
T_01239,2024-10-13,Zendesk,,,,,Not Responded,Not Satisfied,,,,
T_02485,2024-11-14,Zoho Desk,,,,,Not Responded,Not Satisfied,,,,
T_01552,2024-10-22,Jira Service Management,4.0,5.0,7.0,Its a very good tool for enterprises for software development management,Responded,Satisfied,1.0,Passive,Positive,Positive
T_01944,2024-11-02,ServiceNow,4.0,3.0,8.0,Support activity along with different parameters can be easily sorted and managened with help ofServiceNow.,Responded,Satisfied,1.0,Passive,Positive,Positive
T_02035,2024-11-04,ServiceNow,5.0,5.0,9.0,"An extremely robust platform with customization galore and full features comes at a cost but with very little holding it back.ServiceNow can really help on any ITIL initiatives and centralization of services.The unique focus of ServiceNow beyond just IT, is where its strengths lie.Most Service Management suites do ITIL for IT.ServiceNow takes the lessons learned from ITIL and extends them to the rest of the org (especially but not limited to Facilities and HR).Really built for Mid to Large Businesses.",Responded,Satisfied,1.0,Promoter,Positive,Positive
T_03210,2024-11-29,Zendesk,5.0,5.0,10.0,Very happy with Zendesk! Would see myself and the teams using it for the future too :),Responded,Satisfied,1.0,Promoter,Positive,Positive
T_01839,2024-10-30,Freshdesk,,,,,Not Responded,Not Satisfied,,,,
T_03646,2024-12-07,Jira Service Management,,,,,Not Responded,Not Satisfied,,,,
T_00959,2024-10-05,Jira Service Management,5.0,4.0,10.0,In the short time I've been using Jira Service Desk I've been impressed with the scope and capability and think that with the right amount of time invested into getting this setup properly it will do a fantastic job,Responded,Satisfied,1.0,Promoter,Positive,Positive
T_00554,2024-09-21,Zendesk,5.0,5.0,10.0,"Really great experience usingthis, can't fault Thai at all.",Responded,Satisfied,1.0,Promoter,Positive,Positive
T_02980,2024-11-24,Freshdesk,5.0,5.0,9.0,The types of business problems we are solving are as follows:Quicker support for our clients,Responded,Satisfied,1.0,Promoter,Positive,Neutral
T_00548,2024-09-21,Zoho Desk,,,,,Not Responded,Not Satisfied,,,,
